Date1,NatGas - Transco Z6 Non-NY,NatGas - Tetco M-3,Coal - Northern Appalachia,Coal - Central Appalachia,NatGas - Chicago,NatGas - Transco-Z5 (non-WGL),NatGas - Henry,NatGas - Transco Z6 (NY)
9/1/2021,3.81,3.84,2.26,2.63,4.26,4.47,4.34,3.83
9/2/2021,3.81,3.89,2.26,2.63,4.43,4.66,4.53,3.81
9/3/2021,3.76,3.74,2.26,2.63,4.52,4.76,4.64,3.75
9/4/2021,3.65,3.56,2.26,2.63,4.52,4.76,4.66,3.65
9/5/2021,3.55,3.56,2.26,2.63,4.52,4.77,4.67,3.54
9/6/2021,3.45,3.56,2.26,2.63,4.52,4.77,4.68,3.43
9/7/2021,3.69,3.77,2.26,2.63,4.51,4.78,4.68,3.69
9/8/2021,4.16,4.14,2.26,2.63,4.62,4.89,4.72,4.19
9/9/2021,4.23,4.24,2.26,2.63,4.77,5.03,4.86,4.27
9/10/2021,4.17,4.24,2.26,2.64,4.77,5.09,4.98,4.2
9/11/2021,4.23,4.33,2.27,2.67,4.79,5.11,5,4.25
9/12/2021,4.3,4.33,2.28,2.7,4.81,5.14,5.03,4.31
9/13/2021,4.61,4.59,2.29,2.73,4.95,5.27,5.1,4.61
9/14/2021,4.98,5.03,2.3,2.76,5.11,5.44,5.26,5.05
9/15/2021,5.1,5.18,2.31,2.79,5.29,5.57,5.46,5.19
9/16/2021,5.13,5.13,2.32,2.82,5.38,5.6,5.54,5.15
9/17/2021,5.03,5.01,2.33,2.84,5.22,5.49,5.43,5.03
9/18/2021,4.95,4.95,2.33,2.84,5.15,5.45,5.34,4.99
9/19/2021,4.87,4.95,2.33,2.84,5.08,5.41,5.25,4.95
9/20/2021,4.59,4.68,2.33,2.84,4.95,5.28,5.12,4.7
9/21/2021,4.07,4.12,2.33,2.84,4.76,5.06,4.96,4.22
9/22/2021,3.98,3.98,2.33,2.84,4.65,4.92,4.85,4.08
9/23/2021,4.2,4.21,2.33,2.84,4.65,4.88,4.86,4.23
9/24/2021,4.17,4.15,2.33,2.85,4.62,4.86,4.91,4.2
9/25/2021,4.07,4,2.34,2.86,4.57,4.88,4.96,4.09
9/26/2021,3.98,3.99,2.35,2.87,4.51,4.9,5,3.99
9/27/2021,4.14,4.18,2.36,2.88,4.75,5.24,5.25,4.15
9/28/2021,4.52,4.58,2.37,2.9,5.24,5.86,5.7,4.55
9/29/2021,4.68,4.76,2.38,2.91,5.37,5.94,5.79,4.7
9/30/2021,4.61,4.71,2.39,2.92,5.34,5.68,5.59,4.64
10/1/2021,4.32,4.08,2.41,2.94,5.38,5.63,5.55,4.38
10/2/2021,3.86,3.38,2.42,2.95,5.34,5.61,5.56,3.94
10/3/2021,3.4,3.38,2.43,2.96,5.3,5.59,5.57,3.49
10/4/2021,3.65,3.97,2.44,2.97,5.45,5.76,5.72,3.73
10/5/2021,4.74,4.96,2.45,2.99,5.84,6.13,6.05,4.76
10/6/2021,5.26,5.23,2.46,3,5.91,6.2,6.1,5.27
10/7/2021,4.98,4.99,2.47,3.01,5.59,5.87,5.83,4.99
10/8/2021,4.67,4.57,2.48,3.02,5.38,5.66,5.69,4.66
10/9/2021,4.52,4.33,2.48,3.02,5.3,5.63,5.68,4.5
10/10/2021,4.36,4.33,2.48,3.02,5.22,5.61,5.67,4.35
10/11/2021,4.44,4.46,2.48,3.02,5.13,5.54,5.55,4.43
10/12/2021,4.68,4.65,2.48,3.02,5.09,5.48,5.39,4.67
10/13/2021,4.81,4.79,2.48,3.02,5.14,5.53,5.4,4.78
10/14/2021,5.04,5.02,2.48,3.02,5.38,5.73,5.62,5.03
10/15/2021,5.11,4.92,2.48,3.02,5.52,5.85,5.77,5.14
10/16/2021,4.92,4.62,2.48,3.02,5.32,5.69,5.65,4.93
10/17/2021,4.73,4.62,2.48,3.02,5.11,5.53,5.53,4.72
10/18/2021,4.56,4.57,2.48,3.02,4.91,5.24,5.28,4.55
10/19/2021,4.4,4.26,2.48,3.02,4.81,4.98,5.01,4.41
10/20/2021,4.22,4.04,2.48,3.02,4.82,4.95,4.86,4.24
10/21/2021,4.3,4.32,2.48,3.02,4.87,5,4.84,4.34
10/22/2021,4.5,4.55,2.49,3.03,4.93,5.08,4.94,4.55
10/23/2021,4.49,4.52,2.5,3.05,4.95,5.08,4.99,4.52
10/24/2021,4.48,4.51,2.52,3.07,4.97,5.09,5.04,4.49
10/25/2021,4.87,4.92,2.53,3.09,5.27,5.4,5.31,4.91
10/26/2021,5.4,5.46,2.54,3.11,5.6,5.71,5.59,5.47
10/27/2021,5.44,5.49,2.56,3.13,5.69,5.78,5.71,5.48
10/28/2021,5.05,5.09,2.57,3.15,5.64,5.73,5.75,5.09
10/29/2021,4.58,4.64,2.58,3.16,5.39,5.47,5.58,4.63
10/30/2021,4.52,4.64,2.58,3.16,5.31,5.44,5.49,4.52
10/31/2021,4.46,4.52,2.58,3.16,5.22,5.4,5.4,4.41
11/1/2021,4.67,4.64,2.58,3.16,5.15,5.3,5.27,4.65
11/2/2021,5.09,5.06,2.58,3.16,5.23,5.36,5.25,5.12
11/3/2021,5.41,5.35,2.58,3.16,5.44,5.72,5.46,5.41
11/4/2021,5.49,5.44,2.58,3.16,5.55,5.86,5.64,5.5
11/5/2021,5.29,5.12,2.59,3.19,5.5,5.75,5.64,5.33
11/6/2021,5.13,4.85,2.62,3.25,5.35,5.61,5.52,5.15
11/7/2021,4.97,4.84,2.65,3.31,5.2,5.46,5.4,4.97
11/7/2021,4.78,4.76,2.67,3.37,5.13,5.39,5.39,4.79
11/8/2021,4.42,4.44,2.7,3.43,4.92,5.28,5.28,4.39
11/9/2021,3.95,3.99,2.73,3.5,4.56,4.9,4.85,3.92
11/10/2021,3.84,3.87,2.76,3.56,4.58,4.67,4.68,3.91
11/11/2021,4.05,4.22,2.77,3.59,4.73,4.78,4.81,4.16
11/12/2021,4.22,4.5,2.77,3.59,4.73,4.89,4.85,4.31
11/13/2021,4.4,4.5,2.77,3.59,4.72,5,4.89,4.47
11/14/2021,4.51,4.51,2.77,3.59,4.64,4.92,4.82,4.58
11/15/2021,4.59,4.6,2.77,3.59,4.73,4.9,4.87,4.63
11/16/2021,4.57,4.58,2.77,3.59,4.87,5,4.93,4.57
11/17/2021,4.66,4.64,2.77,3.59,4.79,5.03,4.87,4.68
11/18/2021,4.87,4.77,2.77,3.59,4.81,5.18,4.96,4.89
11/19/2021,4.8,4.67,2.77,3.59,4.81,5.2,4.94,4.85
11/20/2021,4.73,4.67,2.77,3.59,4.81,5.21,4.91,4.82
11/21/2021,5.93,5.71,2.77,3.59,4.72,8.24,4.84,5.94
11/22/2021,6.21,5.94,2.77,3.59,4.65,9.07,4.82,6.2
11/23/2021,4.84,4.79,2.77,3.59,4.7,5.82,4.89,4.94
11/24/2021,4.92,4.84,2.77,3.59,4.73,5.76,4.89,5.01
11/25/2021,4.99,4.9,2.78,3.6,4.75,5.71,4.89,5.08
11/26/2021,5.07,4.96,2.79,3.61,4.77,5.66,4.89,5.15
11/27/2021,5.15,5.01,2.8,3.63,4.79,5.61,4.89,5.22
11/28/2021,5.33,5.15,2.81,3.64,4.77,5.73,4.88,5.46
11/29/2021,4.95,4.84,2.82,3.66,4.46,5.35,4.7,5.1
11/30/2021,4.12,4.1,2.83,3.68,4.05,4.55,4.38,4.16
12/1/2021,3.93,3.87,2.84,3.69,3.89,4.25,4.14,3.95
12/2/2021,3.9,3.82,2.85,3.7,3.82,4.07,4.01,3.98
12/3/2021,3.76,3.7,2.85,3.7,3.79,4.01,3.95,3.87
12/4/2021,3.63,3.58,2.85,3.7,3.76,3.94,3.89,3.76
12/5/2021,3.66,3.59,2.85,3.7,3.62,4.17,3.75,3.81
12/6/2021,4.56,4.52,2.85,3.7,3.51,5.26,3.63,4.76
12/7/2021,4.55,4.55,2.85,3.7,3.56,5.21,3.71,4.74
12/8/2021,3.31,3.29,2.85,3.7,3.52,3.9,3.73,3.39
12/9/2021,3.14,3.11,2.85,3.7,3.48,3.73,3.66,3.15
12/10/2021,3.1,3.06,2.85,3.7,3.51,3.78,3.66,3.07
12/11/2021,3.06,3.02,2.85,3.7,3.55,3.83,3.67,2.99
12/12/2021,3.18,3.16,2.85,3.7,3.72,4.01,3.8,3.17
12/13/2021,3.16,3.16,2.85,3.7,3.66,4.07,3.82,3.23
12/14/2021,2.94,2.92,2.85,3.7,3.48,3.92,3.69,2.99
12/15/2021,2.94,2.92,2.85,3.7,3.6,3.85,3.72,2.95
12/16/2021,3.08,3.07,2.85,3.7,3.59,3.87,3.67,3.06
12/17/2021,3.34,3.31,2.85,3.7,3.55,4.07,3.65,3.4
12/18/2021,3.6,3.55,2.85,3.7,3.51,4.27,3.63,3.74
12/19/2021,3.78,3.67,2.85,3.7,3.61,5.12,3.74,3.96
12/20/2021,4.31,4.09,2.85,3.7,3.73,6.1,3.9,4.37
12/21/2021,4.33,4.13,2.85,3.7,3.73,5.32,3.95,4.52
12/22/2021,3.54,3.46,2.85,3.7,3.72,4.13,3.93,4
12/23/2021,3.27,3.21,2.85,3.7,3.63,3.88,3.81,3.61
12/24/2021,3,2.95,2.85,3.7,3.54,3.64,3.7,3.22
12/25/2021,2.73,2.7,2.85,3.7,3.46,3.4,3.58,2.83
12/26/2021,2.68,2.65,2.85,3.7,3.4,3.27,3.41,2.7
12/27/2021,2.64,2.62,2.85,3.7,3.46,3.31,3.3,2.69
12/28/2021,2.47,2.44,2.85,3.7,3.52,3.32,3.35,2.54
12/29/2021,2.59,2.52,2.85,3.7,3.51,3.38,3.44,2.61
12/30/2021,2.81,2.73,2.84,3.68,3.56,3.58,3.52,2.87
12/31/2021,3.02,2.94,2.82,3.65,3.6,3.78,3.6,3.13
1/1/2022,3.24,3.15,2.8,3.62,3.64,3.99,3.68,3.39
1/2/2022,5.6,5.54,2.79,3.58,3.57,5.66,3.66,5.8
1/3/2022,6.85,6.78,2.77,3.55,3.65,6.64,3.66,7.17
1/4/2022,6.2,6.01,2.75,3.51,4.12,6.62,3.77,6.56
1/5/2022,10.98,10.93,2.73,3.48,4.19,12.58,3.85,11.6
1/6/2022,14.17,14.62,2.72,3.46,3.93,16.58,3.91,15.14
1/7/2022,11.87,12.82,2.72,3.46,3.94,13.06,3.88,12.65
1/8/2022,9.56,11.02,2.72,3.46,3.95,9.53,3.84,10.16
1/9/2022,8.45,10.1,2.72,3.46,3.96,9.64,3.97,10.45
1/10/2022,7.05,7.99,2.72,3.46,3.92,8.92,4.1,9.2
1/11/2022,5.83,6.09,2.72,3.46,4,5.84,4.22,7.02
1/12/2022,7.22,7.56,2.72,3.46,4.28,7.18,4.57,10.54
1/13/2022,8.24,8.72,2.73,3.47,4.4,8.96,4.72,12.41
1/14/2022,8.84,9.49,2.74,3.49,4.33,11.25,4.62,12.3
1/15/2022,9.43,10.26,2.76,3.51,4.25,13.55,4.52,12.19
1/16/2022,10.02,11.04,2.77,3.52,4.18,15.84,4.42,12.08
1/17/2022,8.13,8.7,2.78,3.54,4.29,11.79,4.41,9.32
1/18/2022,9.31,9.68,2.8,3.56,4.54,8.96,4.6,10.62
1/19/2022,13.66,14.46,2.81,3.58,4.56,13.12,4.52,15.78
1/20/2022,13.38,13.94,2.82,3.59,4.38,13.38,4.24,15.42
1/21/2022,13.1,13.42,2.82,3.59,4.2,13.63,4.18,15.05
1/22/2022,12.81,12.89,2.82,3.59,4.02,13.88,4.12,14.68
1/23/2022,9.68,9.91,2.82,3.59,4.12,10.48,4.11,11.11
1/24/2022,9.54,9.87,2.82,3.59,4.2,10.14,4.15,11.51
1/25/2022,11.82,11.87,2.82,3.59,4.14,12.76,4.26,14.51
1/26/2022,9.05,9.54,2.82,3.59,4.33,9.64,4.41,10.35
1/27/2022,7.92,8.84,2.82,3.59,4.5,8.33,4.58,8.24
1/28/2022,7.37,8.13,2.82,3.59,4.67,7.67,4.86,7.68
1/29/2022,6.82,7.42,2.82,3.59,4.83,7,5.14,7.11
1/30/2022,6.27,6.71,2.82,3.59,4.99,6.34,5.42,6.55
1/31/2022,5.85,6.11,2.82,3.59,5.19,5.89,5.52,6.19
2/1/2022,6.04,6.2,2.82,3.59,5.78,6.22,5.91,6.43
2/2/2022,6.46,6.81,2.82,3.59,5.92,6.6,6.18,6.93
2/3/2022,7.05,7.61,2.82,3.59,5.39,7.06,5.79,8.08
2/4/2022,8.26,8.83,2.82,3.59,5.26,8.4,5.61,10.21
2/5/2022,9.47,10.05,2.82,3.59,5.14,9.75,5.44,12.34
2/6/2022,7.77,7.95,2.82,3.59,4.62,8.01,4.89,9.68
2/7/2022,4.69,4.49,2.82,3.59,4.08,4.93,4.32,4.86
2/8/2022,4.14,4.1,2.82,3.59,3.94,4.55,4.18,4.29
2/9/2022,3.7,3.71,2.82,3.59,3.74,4.15,3.98,3.78
2/10/2022,3.79,3.78,2.82,3.59,3.69,4.31,3.89,3.95
2/11/2022,4.53,4.5,2.82,3.59,3.73,5.13,3.91,5.01
2/12/2022,5.26,5.22,2.82,3.59,3.76,5.95,3.92,6.07
2/13/2022,5.71,5.98,2.82,3.59,3.82,6.3,3.98,6.81
2/14/2022,4.86,5.22,2.82,3.59,3.93,5.35,4.15,5.55
2/15/2022,3.93,3.96,2.82,3.59,4.1,4.46,4.33,3.99
2/16/2022,4.26,4.27,2.82,3.59,4.33,4.72,4.49,4.35
2/17/2022,4.42,4.45,2.82,3.59,4.44,4.84,4.57,4.55
2/18/2022,4.37,4.48,2.82,3.59,4.41,4.8,4.58,4.54
2/19/2022,4.32,4.5,2.82,3.59,4.39,4.76,4.59,4.53
2/20/2022,4.27,4.53,2.82,3.59,4.36,4.72,4.6,4.53
